Model,train,test,train time
Random Forest Pre Feature Selection,0.999944432537131,0.7751508161816891,12.350678443908691
Random Forest Post Feature Selection,0.9999364943281497,0.7620652945351313,8.410567998886108
KNN,0.9936891238598747,0.7571859474804826,0.016736745834350586
Naive Bayes,0.9458614147476047,0.7620209368346345,
Decision Tree,0.9746612369317235,0.7969748048261178,0.206618070602417
SVM,0.9933319044557167,0.7606014904187367,
XGBoost,0.9998491740293555,0.7767476933995742,
Decision Tree Final,0.9971739976026609,0.8155163236337828,0.19122052192687988
